Location Names,Pan de Azucar Pte. R-9,Pan de Azucar Pte. R-9
Location Ids,71.0,71.0
Time,H.obs,Q.obs
2022-08-23 00:00:00,0.58,1.1
2022-08-23 00:30:00,0.58,1.1
2022-08-23 01:00:00,0.58,1.1
2022-08-23 01:30:00,0.58,1.1
2022-08-23 02:00:00,0.58,1.1
2022-08-23 02:30:00,0.58,1.1
2022-08-23 03:00:00,0.58,1.1
2022-08-23 03:30:00,0.58,1.1
2022-08-23 04:00:00,0.58,1.1
2022-08-23 04:30:00,0.58,1.1
2022-08-23 05:00:00,0.57,1.02
2022-08-23 05:30:00,0.58,1.1
2022-08-23 06:00:00,0.58,1.1
2022-08-23 06:30:00,0.57,1.02
2022-08-23 07:00:00,0.57,1.02
2022-08-23 07:30:00,0.57,1.02
2022-08-23 08:00:00,0.57,1.02
2022-08-23 08:30:00,0.57,1.02
2022-08-23 09:00:00,0.57,1.02
2022-08-23 09:30:00,0.57,1.02
2022-08-23 10:00:00,0.57,1.02
2022-08-23 10:30:00,0.57,1.02
2022-08-23 11:00:00,0.57,1.02
2022-08-23 11:30:00,0.58,1.1
2022-08-23 12:00:00,0.58,1.1
2022-08-23 12:30:00,0.58,1.1
2022-08-23 13:00:00,0.58,1.1
2022-08-23 13:30:00,0.58,1.1
2022-08-23 14:00:00,0.58,1.1
2022-08-23 14:30:00,0.58,1.1
2022-08-23 15:00:00,0.59,1.18
2022-08-23 15:30:00,0.59,1.18
2022-08-23 16:00:00,0.58,1.1
2022-08-23 16:30:00,0.58,1.1
2022-08-23 17:00:00,0.58,1.1
2022-08-23 17:30:00,0.58,1.1
2022-08-23 18:00:00,0.58,1.1
2022-08-23 18:30:00,0.58,1.1
2022-08-23 19:00:00,0.58,1.1
2022-08-23 19:30:00,0.58,1.1
2022-08-23 20:00:00,0.58,1.1
2022-08-23 20:30:00,0.58,1.1
2022-08-23 21:00:00,0.58,1.1
2022-08-23 21:30:00,0.58,1.1
2022-08-23 22:00:00,0.57,1.02
2022-08-23 22:30:00,0.58,1.1
2022-08-23 23:00:00,0.58,1.1
2022-08-23 23:30:00,0.58,1.1
2022-08-24 00:00:00,0.57,1.02
2022-08-24 00:30:00,0.58,1.1
2022-08-24 01:00:00,0.58,1.1
2022-08-24 01:30:00,0.58,1.1
2022-08-24 02:00:00,0.58,1.1
2022-08-24 02:30:00,0.58,1.1
2022-08-24 03:00:00,0.57,1.02
2022-08-24 03:30:00,0.57,1.02
2022-08-24 04:00:00,0.58,1.1
2022-08-24 04:30:00,0.57,1.02
2022-08-24 05:00:00,0.57,1.02
2022-08-24 05:30:00,0.57,1.02
2022-08-24 06:00:00,0.58,1.1
2022-08-24 06:30:00,0.57,1.02
2022-08-24 07:00:00,0.57,1.02
2022-08-24 07:30:00,0.57,1.02
2022-08-24 08:00:00,0.57,1.02
2022-08-24 08:30:00,0.57,1.02
2022-08-24 09:00:00,0.58,1.1
2022-08-24 09:30:00,0.58,1.1
2022-08-24 10:00:00,0.57,1.02
2022-08-24 10:30:00,0.57,1.02
2022-08-24 11:00:00,0.57,1.02
2022-08-24 11:30:00,0.57,1.02
2022-08-24 12:00:00,0.57,1.02
2022-08-24 12:30:00,0.65,1.74
2022-08-24 13:00:00,0.65,1.74
2022-08-24 13:30:00,0.65,1.74
2022-08-24 14:00:00,0.65,1.74
2022-08-24 14:30:00,0.65,1.74
2022-08-24 15:00:00,0.65,1.74
2022-08-24 15:30:00,0.66,1.85
2022-08-24 16:00:00,0.66,1.85
2022-08-24 16:30:00,0.65,1.74
2022-08-24 17:00:00,0.65,1.74
2022-08-24 17:30:00,0.65,1.74
2022-08-24 18:00:00,0.65,1.74
2022-08-24 18:30:00,0.65,1.74
2022-08-24 19:00:00,0.65,1.74
2022-08-24 19:30:00,0.65,1.74
2022-08-24 20:00:00,0.65,1.74
2022-08-24 20:30:00,0.65,1.74
2022-08-24 21:00:00,0.65,1.74
2022-08-24 21:30:00,0.65,1.74
2022-08-24 22:00:00,0.65,1.74
2022-08-24 22:30:00,0.65,1.74
2022-08-24 23:00:00,0.65,1.74
2022-08-24 23:30:00,0.65,1.74
2022-08-25 00:00:00,0.65,1.74
2022-08-25 00:30:00,0.65,1.74
2022-08-25 01:00:00,0.65,1.74
2022-08-25 01:30:00,0.65,1.74
2022-08-25 02:00:00,0.65,1.74
2022-08-25 02:30:00,0.65,1.74
2022-08-25 03:00:00,0.65,1.74
2022-08-25 03:30:00,0.65,1.74
2022-08-25 04:00:00,0.65,1.74
2022-08-25 04:30:00,0.65,1.74
2022-08-25 05:00:00,0.65,1.74
2022-08-25 05:30:00,0.65,1.74
2022-08-25 06:00:00,0.65,1.74
2022-08-25 06:30:00,0.65,1.74
2022-08-25 07:00:00,0.65,1.74
2022-08-25 07:30:00,0.65,1.74
2022-08-25 08:00:00,0.65,1.74
2022-08-25 08:30:00,0.65,1.74
2022-08-25 09:00:00,0.65,1.74
2022-08-25 09:30:00,0.65,1.74
2022-08-25 10:00:00,0.65,1.74
2022-08-25 10:30:00,0.65,1.74
2022-08-25 11:00:00,0.65,1.74
2022-08-25 11:30:00,0.65,1.74
2022-08-25 12:00:00,0.65,1.74
2022-08-25 12:30:00,0.65,1.74
2022-08-25 13:00:00,0.65,1.74
2022-08-25 13:30:00,0.65,1.74
2022-08-25 14:00:00,0.65,1.74
2022-08-25 14:30:00,0.65,1.74
2022-08-25 15:00:00,0.65,1.74
2022-08-25 15:30:00,0.65,1.74
2022-08-25 16:00:00,0.65,1.74
2022-08-25 16:30:00,0.65,1.74
2022-08-25 17:00:00,0.65,1.74
2022-08-25 17:30:00,0.65,1.74
2022-08-25 18:00:00,0.65,1.74
2022-08-25 18:30:00,0.65,1.74
2022-08-25 19:00:00,0.65,1.74
2022-08-25 19:30:00,0.65,1.74
2022-08-25 20:00:00,0.65,1.74
2022-08-25 20:30:00,0.65,1.74
2022-08-25 21:00:00,0.65,1.74
2022-08-25 21:30:00,0.66,1.85
2022-08-25 22:00:00,0.65,1.74
2022-08-25 22:30:00,0.66,1.85
2022-08-25 23:00:00,0.66,1.85
2022-08-25 23:30:00,0.66,1.85
2022-08-26 00:00:00,0.66,1.85
2022-08-26 00:30:00,0.66,1.85
2022-08-26 01:00:00,0.66,1.85
2022-08-26 01:30:00,0.66,1.85
2022-08-26 02:00:00,0.66,1.85
2022-08-26 02:30:00,0.66,1.85
2022-08-26 03:00:00,0.65,1.74
2022-08-26 03:30:00,0.65,1.74
2022-08-26 04:00:00,0.66,1.85
2022-08-26 04:30:00,0.65,1.74
2022-08-26 05:00:00,0.65,1.74
2022-08-26 05:30:00,0.65,1.74
2022-08-26 06:00:00,0.65,1.74
2022-08-26 06:30:00,0.65,1.74
2022-08-26 07:00:00,0.65,1.74
2022-08-26 07:30:00,0.65,1.74
2022-08-26 08:00:00,0.65,1.74
2022-08-26 08:30:00,0.65,1.74
2022-08-26 09:00:00,0.65,1.74
2022-08-26 09:30:00,0.65,1.74
2022-08-26 10:00:00,0.65,1.74
2022-08-26 10:30:00,0.65,1.74
2022-08-26 11:00:00,0.65,1.74
2022-08-26 11:30:00,0.65,1.74
2022-08-26 12:00:00,0.66,1.85
2022-08-26 12:30:00,0.66,1.85
2022-08-26 13:00:00,0.67,1.96
2022-08-26 13:30:00,0.67,1.96
2022-08-26 14:00:00,0.67,1.96
2022-08-26 14:30:00,0.67,1.96
2022-08-26 15:00:00,0.67,1.96
2022-08-26 15:30:00,0.67,1.96
2022-08-26 16:00:00,0.66,1.85
2022-08-26 16:30:00,0.66,1.85
2022-08-26 17:00:00,0.66,1.85
2022-08-26 17:30:00,0.65,1.74
2022-08-26 18:00:00,0.65,1.74
2022-08-26 18:30:00,0.66,1.85
2022-08-26 19:00:00,0.66,1.85
2022-08-26 19:30:00,0.66,1.85
2022-08-26 20:00:00,0.66,1.85
2022-08-26 20:30:00,0.66,1.85
2022-08-26 21:00:00,0.66,1.85
2022-08-26 21:30:00,0.66,1.85
2022-08-26 22:00:00,0.66,1.85
2022-08-26 22:30:00,0.66,1.85
2022-08-26 23:00:00,0.66,1.85
2022-08-26 23:30:00,0.66,1.85
2022-08-27 00:00:00,0.66,1.85
2022-08-27 00:30:00,0.66,1.85
2022-08-27 01:00:00,0.66,1.85
2022-08-27 01:30:00,0.66,1.85
2022-08-27 02:00:00,0.66,1.85
2022-08-27 02:30:00,0.66,1.85
2022-08-27 03:00:00,0.67,1.96
2022-08-27 03:30:00,0.66,1.85
2022-08-27 04:00:00,0.66,1.85
2022-08-27 04:30:00,0.66,1.85
2022-08-27 05:00:00,0.67,1.96
2022-08-27 05:30:00,0.67,1.96
2022-08-27 06:00:00,0.67,1.96
2022-08-27 06:30:00,0.69,2.19
2022-08-27 07:00:00,0.73,2.7
2022-08-27 07:30:00,0.82,4.08
2022-08-27 08:00:00,0.94,6.45
2022-08-27 08:30:00,1.06,9.48
2022-08-27 09:00:00,1.16,11.27
2022-08-27 09:30:00,1.3,13.65
2022-08-27 10:00:00,1.47,16.6
2022-08-27 10:30:00,1.68,20.34
2022-08-27 11:00:00,1.94,25.09
2022-08-27 11:30:00,2.18,29.57
2022-08-27 12:00:00,2.38,33.36
2022-08-27 12:30:00,2.54,36.44
2022-08-27 13:00:00,2.68,39.15
2022-08-27 13:30:00,2.8,41.49
2022-08-27 14:00:00,2.9,43.46
2022-08-27 14:30:00,2.98,45.04
2022-08-27 15:00:00,3.05,46.43
2022-08-27 15:30:00,3.1,47.42
2022-08-27 16:00:00,3.12,47.82
2022-08-27 16:30:00,3.12,47.82
2022-08-27 17:00:00,3.12,47.82
2022-08-27 17:30:00,3.09,47.22
2022-08-27 18:00:00,3.07,46.83
2022-08-27 18:30:00,3.04,46.23
2022-08-27 19:00:00,3.02,45.83
2022-08-27 19:30:00,3.01,45.63
2022-08-27 20:00:00,3.02,45.83
2022-08-27 20:30:00,3.03,46.03
2022-08-27 21:00:00,3.06,46.63
2022-08-27 21:30:00,3.07,46.83
2022-08-27 22:00:00,3.1,47.42
2022-08-27 22:30:00,3.11,47.62
2022-08-27 23:00:00,3.11,47.62
2022-08-27 23:30:00,3.11,47.62
2022-08-28 00:00:00,3.08,47.02
2022-08-28 00:30:00,3.05,46.43
2022-08-28 01:00:00,2.99,45.24
2022-08-28 01:30:00,2.92,43.85
2022-08-28 02:00:00,2.84,42.28
2022-08-28 02:30:00,2.74,40.32
2022-08-28 03:00:00,2.62,37.98
2022-08-28 03:30:00,2.5,35.66
2022-08-28 04:00:00,2.37,33.17
2022-08-28 04:30:00,2.25,30.89
2022-08-28 05:00:00,2.12,28.44
2022-08-28 05:30:00,2.0,26.2
2022-08-28 06:00:00,1.89,24.17
2022-08-28 06:30:00,1.78,22.16
2022-08-28 07:00:00,1.69,20.52
2022-08-28 07:30:00,1.6,18.91
2022-08-28 08:00:00,1.53,17.66
2022-08-28 08:30:00,1.47,16.6
2022-08-28 09:00:00,1.42,15.73
2022-08-28 09:30:00,1.38,15.03
2022-08-28 10:00:00,1.35,14.51
2022-08-28 10:30:00,1.32,13.99
2022-08-28 11:00:00,1.3,13.65
2022-08-28 11:30:00,1.28,13.3
2022-08-28 12:00:00,1.26,12.96
2022-08-28 12:30:00,1.25,12.79
2022-08-28 13:00:00,1.24,12.62
2022-08-28 13:30:00,1.22,12.28
2022-08-28 14:00:00,1.21,12.11
2022-08-28 14:30:00,1.21,12.11
2022-08-28 15:00:00,1.2,11.94
2022-08-28 15:30:00,1.19,11.77
2022-08-28 16:00:00,1.18,11.6
2022-08-28 16:30:00,1.17,11.43
2022-08-28 17:00:00,1.16,11.27
2022-08-28 17:30:00,1.16,11.27
2022-08-28 18:00:00,1.15,11.1
2022-08-28 18:30:00,1.15,11.1
2022-08-28 19:00:00,1.14,10.93
2022-08-28 19:30:00,1.13,10.76
2022-08-28 20:00:00,1.12,10.6
2022-08-28 20:30:00,1.11,10.43
2022-08-28 21:00:00,1.11,10.43
2022-08-28 21:30:00,1.1,10.26
2022-08-28 22:00:00,1.09,10.1
2022-08-28 22:30:00,1.09,10.1
2022-08-28 23:00:00,1.08,9.93
2022-08-28 23:30:00,1.07,9.76
2022-08-29 00:00:00,1.07,9.76
2022-08-29 00:30:00,1.06,9.48
2022-08-29 01:00:00,1.06,9.48
2022-08-29 01:30:00,1.05,9.2
2022-08-29 02:00:00,1.05,9.2
2022-08-29 02:30:00,1.04,8.92
2022-08-29 03:00:00,1.04,8.92
2022-08-29 03:30:00,1.03,8.65
2022-08-29 04:00:00,1.03,8.65
2022-08-29 04:30:00,1.03,8.65
2022-08-29 05:00:00,1.02,8.39
2022-08-29 05:30:00,1.02,8.39
2022-08-29 06:00:00,1.01,8.13
2022-08-29 06:30:00,1.01,8.13
2022-08-29 07:00:00,1.01,8.13
2022-08-29 07:30:00,1.0,7.88
2022-08-29 08:00:00,1.0,7.88
2022-08-29 08:30:00,1.0,7.88
2022-08-29 09:00:00,1.0,7.88
2022-08-29 09:30:00,0.99,7.63
2022-08-29 10:00:00,0.99,7.63
2022-08-29 10:30:00,0.99,7.63
2022-08-29 11:00:00,0.99,7.63
2022-08-29 11:30:00,0.99,7.63
2022-08-29 12:00:00,0.98,7.38
2022-08-29 12:30:00,0.98,7.38
2022-08-29 13:00:00,0.98,7.38
2022-08-29 13:30:00,0.98,7.38
2022-08-29 14:00:00,0.98,7.38
2022-08-29 14:30:00,0.97,7.14
2022-08-29 15:00:00,0.97,7.14
2022-08-29 15:30:00,0.97,7.14
2022-08-29 16:00:00,0.97,7.14
2022-08-29 16:30:00,0.97,7.14
2022-08-29 17:00:00,0.97,7.14
2022-08-29 17:30:00,0.96,6.91
2022-08-29 18:00:00,0.96,6.91
2022-08-29 18:30:00,0.96,6.91
2022-08-29 19:00:00,0.96,6.91
2022-08-29 19:30:00,0.95,6.67
2022-08-29 20:00:00,0.95,6.67
2022-08-29 20:30:00,0.95,6.67
2022-08-29 21:00:00,0.96,6.91
2022-08-29 21:30:00,0.95,6.67
2022-08-29 22:00:00,0.94,6.45
2022-08-29 22:30:00,0.94,6.45
2022-08-29 23:00:00,0.94,6.45
2022-08-29 23:30:00,0.94,6.45
2022-08-30 00:00:00,0.94,6.45
2022-08-30 00:30:00,0.93,6.23
2022-08-30 01:00:00,0.93,6.23
2022-08-30 01:30:00,0.93,6.23
2022-08-30 02:00:00,0.92,6.01
2022-08-30 02:30:00,0.92,6.01
2022-08-30 03:00:00,0.92,6.01
2022-08-30 03:30:00,0.92,6.01
2022-08-30 04:00:00,0.91,5.8
2022-08-30 04:30:00,0.91,5.8
2022-08-30 05:00:00,0.91,5.8
2022-08-30 05:30:00,0.91,5.8
2022-08-30 06:00:00,0.9,5.59
2022-08-30 06:30:00,0.9,5.59
2022-08-30 07:00:00,0.9,5.59
2022-08-30 07:30:00,0.9,5.59
2022-08-30 08:00:00,0.9,5.59
2022-08-30 08:30:00,0.89,5.38
2022-08-30 09:00:00,0.89,5.38
2022-08-30 09:30:00,0.89,5.38
2022-08-30 10:00:00,0.89,5.38
2022-08-30 10:30:00,0.89,5.38
